table cvpdnUserToFailHistInfoTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.4.1,CISCO-VPDN-MGMT-MIB,cvpdnUserToFailHistInfoTable
table rttMonApplSupportedRttTypesTable,snmptable -ib,.1.3.6.1.4.1.9.9.42.1.1.7,CISCO-RTTMON-MIB,rttMonApplSupportedRttTypesTable
table rttMonApplSupportedProtocolsTable,snmptable -ib,.1.3.6.1.4.1.9.9.42.1.1.8,CISCO-RTTMON-MIB,rttMonApplSupportedProtocolsTable
walk expressionMIB,snmpwalk,.1.3.6.1.4.1.9.10.22,EXPRESSION-MIB,expressionMIB
walk snmpFrameworkMIB,snmpwalk ,.1.3.6.1.6.3.10 ,SNMP-FRAMEWORK-MIB,snmpFrameworkMIB
walk snmp,snmpwalk,.1.3.6.1.2.1.11,SNMPv2-MIB,snmp
walk rmon,snmpwalk,.1.3.6.1.2.1.16,RMON-MIB,rmon
table ccmHistoryEventTable,snmptable -ib,.1.3.6.1.4.1.9.9.43.1.1.6,CISCO-CONFIG-MAN,ccmHistoryEventTable
walk clogBasic,snmpwalk,.1.3.6.1.4.1.9.9.41.1.1,CISCO-SYSLOG-MIB,clogBasic
table clogHistoryTable,snmptable -ib,.1.3.6.1.4.1.9.9.41.1.2.3,CISCO-SYSLOG-MIB,clogHistoryTable
walk ciscoFtpClientMIB,snmpwalk,.1.3.6.1.4.1.9.9.80,CISCO-FTP-CLIENT-MIB,ciscoFtpClientMIB
table ciuIfStaticConfigTable,snmptable -ib,.1.3.6.1.4.1.9.9.18.1.1.1,<a href="ftp://www.cisco.com/pub/mibs/v2/CISCO-ISDNU-IF-MIB.my">CISCO-ISDNU-IF-MIB</a>,ciuIfStaticConfigTable

